factor_id,name,expression,reason,validation_status,admitted,train_rank_ic,validation_rank_ic,test_rank_ic_retrospective,best_seed,best_round,best_evaluation_index,occurrence_count,all_seeds,canonical
10ac4bad5197631c,VOL_ADJ_UPPER_SHADOW,"(($high - $close) / ($high - $low + 1e-12)) / (Std($close / Ref($close, 1) - 1, 20) + 1e-12)",Normalizing the upper-shadow reversal signal by recent return volatility isolates genuine intraday selling pressure and may improve signal consistency.,validation_admitted,True,0.04414990317572492,0.05313152805266665,0.04843811082577804,123,38,154,1,[123],"Div(Div(Sub($high,$close),Add(1e-12,Sub($high,$low))),Add(1e-12,Std(Sub(Div($close,Ref($close,1)),1),20)))"
4c95470e773bd60a,HIGH_LOW_RANGE_AMPLIFIED_REVERSAL,"(($high - $low) / ($close + 1e-12)) * (($high + $low - 2 * $close) / ($high - $low + 1e-12)) * (($volume * $close) / (Mean($volume * $close, 20) + 1e-12))","A wide intraday range with the close near the low and abnormally high dollar volume captures panic liquidation, which tends to reverse next day.",validation_admitted,True,0.058111158297685664,0.04939789842714206,0.027665041080543993,456,78,274,1,[456],"Mul(Div(Mul($close,$volume),Add(1e-12,Mean(Mul($close,$volume),20))),Mul(Div(Sub($high,$low),Add($close,1e-12)),Div(Sub(Add($high,$low),Mul($close,2)),Add(1e-12,Sub($high,$low)))))"
fc10d9e245fb4958,UPPER_LOWER_SHADOW_VOL_CV,"((($high - $close) / (($close - $low) + 1e-12)) * (Mean($volume, 20) / ($volume + 1e-12))) / ((Std($close * $volume, 20) / (Mean($close * $volume, 20) + 1e-12)) + 1e-12)","Upper-to-lower shadow ratio captures intraday selling versus buying pressure; high values predict next-day rebound, and the volume/volatility adjustment improves signal quality.",validation_admitted,True,0.05995301352635466,0.049361234437431505,0.03682560056655843,123,85,297,1,[123],"Div(Mul(Div(Mean($volume,20),Add($volume,1e-12)),Div(Sub($high,$close),Add(1e-12,Sub($close,$low)))),Add(1e-12,Div(Std(Mul($close,$volume),20),Add(1e-12,Mean(Mul($close,$volume),20)))))"
a2e8bd657e74843e,VOL_SHOCK_LOW_CLOSE_REVERSAL,"(Ref($low, 1) / $close - 1) * ($volume / (Ref(Mean($volume, 20), 1) + 1e-12))",A drop below the prior day's low on abnormally high volume is a capitulation signal that should reverse the next day.,validation_admitted,True,0.04810581803892827,0.0492118211154403,,42,21,104,1,[42],"Mul(Div($volume,Add(1e-12,Ref(Mean($volume,20),1))),Sub(Div(Ref($low,1),$close),1))"
bf4bad976a46d24a,UPPER_LOWER_SHADOW_RATIO_DV_CV,"(($high - $close) / (($close - $low) + 1e-12)) / ((Std($close * $volume, 20) / (Mean($close * $volume, 20) + 1e-12)) + 1e-12)","The upper-to-lower shadow ratio captures accelerating selling pressure into the close, and dividing by dollar-volume instability highlights stocks whose liquidity is consistent, improving signal reliability.",validation_admitted,True,0.05449114030471125,0.04905350395426643,0.03420546044079744,123,56,208,1,[123],"Div(Div(Sub($high,$close),Add(1e-12,Sub($close,$low))),Add(1e-12,Div(Std(Mul($close,$volume),20),Add(1e-12,Mean(Mul($close,$volume),20)))))"
7e0d8801ad4203bf,CLOSE_LOCATION_TURNOVER_VALUE,"(($high + $low - 2 * $close) / ($high - $low + 1e-12)) * (($volume * $close) / (Mean($volume * $close, 20) + 1e-12))","This captures stocks closing near the intraday low on abnormally high trading value, reflecting capitulative selling pressure that tends to reverse next day.",validation_admitted,True,0.05338641022185003,0.04842701821695153,0.02654636007868879,456,23,110,1,[456],"Mul(Div(Mul($close,$volume),Add(1e-12,Mean(Mul($close,$volume),20))),Div(Sub(Add($high,$low),Mul($close,2)),Add(1e-12,Sub($high,$low))))"
f6cc761dc6d9fc70,INTRADAY_RANGE_REVERSAL_VOLUME,"(($high + $low - 2 * $close) / ($high - $low + 1e-12)) * ($volume / (Mean($volume, 20) + 1e-12))","Stocks closing near their intraday low with high relative volume are oversold and likely rebound next day, while closing near high with high volume suggests exhausted demand, so this scaled close location within the day's range should be positively related to next-day returns.",validation_admitted,True,0.052797859732256876,0.04822866905075066,0.02651198220181366,456,12,78,1,[456],"Mul(Div($volume,Add(1e-12,Mean($volume,20))),Div(Sub(Add($high,$low),Mul($close,2)),Add(1e-12,Sub($high,$low))))"
cb95cf6aabfadba7,UPPER_SHADOW_ZSCORE_20,"(($high - $close) / ($high - $low + 1e-12)) / (Std(($high - $close) / ($high - $low + 1e-12), 20) + 1e-12)","Stocks with upper shadows unusually high relative to their own recent distribution signal an intraday failed rally and selling exhaustion, predicting a short-term rebound.",validation_admitted,True,0.046947036998654025,0.04777456094921392,0.02784290784757704,123,19,97,1,[123],"Div(Div(Sub($high,$close),Add(1e-12,Sub($high,$low))),Add(1e-12,Std(Div(Sub($high,$close),Add(1e-12,Sub($high,$low))),20)))"
85656e83dba955bb,CLOSE_LOC_VOL_CV,"0 - (($close - $low) / ($high - $low + 1e-12) * (Std($volume, 20) / (Ref(Mean($volume, 20), 1) + 1e-12)))","Stocks closing near lows on stable or shrinking volume indicate an orderly, low-panic selloff, which tends to reverse next day.",validation_admitted,True,0.055750569698005424,0.04713152733327596,0.037830063398489086,42,90,311,1,[42],"Sub(0,Mul(Div(Std($volume,20),Add(1e-12,Ref(Mean($volume,20),1))),Div(Sub($close,$low),Add(1e-12,Sub($high,$low)))))"
1ab99570bbe8576f,RANGE_EXPANSION_CLOSE_LOCATION_REVERSAL,"0 - (($high - $low) / (Ref(Mean($high - $low, 20), 1) + 1e-12)) * (($close - $low) / ($high - $low + 1e-12))","Days with both high range expansion and close near the high reflect attention-driven overbought conditions that tend to reverse next day, so the negative sign gives higher scores to fade candidates.",validation_admitted,True,0.05734530127312695,0.046384711643719385,0.03363249875707222,42,36,148,1,[42],"Sub(0,Mul(Div(Sub($close,$low),Add(1e-12,Sub($high,$low))),Div(Sub($high,$low),Add(1e-12,Ref(Mean(Sub($high,$low),20),1)))))"
